# {"Available memory": 12437, "Power": 250, "time_start": 1570699003.5435653, "env": "PongNoFrameskip-v4"} 
time,episode_length,memory_mean,power_mean,fan_speed_mean,temperature_mean,gpu_utilization_mean,memory_utilization_mean
23.188843,839,685.859,60.352,23.0,40.857,11.213,1.938
35.308389,821,686.0,60.301,23.0,42.448,11.354,2.0
47.236923,817,686.0,60.542,23.0,43.58,11.461,1.987
59.942671,867,686.0,60.797,23.106,44.728,11.444,2.0
72.188387,842,686.0,60.939,24.0,45.816,11.489,1.987
84.51621,842,686.0,60.751,24.741,46.586,11.436,2.0
96.038377,790,686.0,60.881,25.0,47.048,11.496,2.0
108.359691,844,686.0,60.932,25.833,47.976,11.507,2.0
121.486447,896,686.0,60.984,26.0,48.093,11.408,1.987
133.715373,838,686.0,61.014,26.365,48.949,11.492,1.987
146.006675,838,686.0,61.026,27.0,49.001,11.364,1.987
157.557602,789,686.0,61.057,27.0,49.511,11.437,2.0
239.87247,758,821.401,62.842,27.992,50.621,8.908,2.962
316.848443,762,822.0,63.014,29.0,51.592,8.991,2.991
393.652455,759,822.0,63.082,29.52,52.0,8.971,3.0
484.458616,898,822.0,63.287,30.0,52.434,8.996,2.965
569.048083,841,822.0,63.442,30.042,52.999,8.97,3.026
647.895214,786,822.0,63.555,30.978,53.0,9.025,3.019
732.366893,835,822.0,63.489,31.0,53.0,8.987,3.011
818.282053,852,822.0,63.651,31.0,53.0,8.989,3.011
907.86145,882,822.0,63.527,31.0,53.015,8.992,2.984
985.274906,764,822.0,63.742,31.0,53.03,8.918,2.978
1062.762353,764,822.0,63.686,31.225,53.217,8.95,3.008
1139.538181,757,822.0,63.808,31.948,53.622,8.948,2.999
1224.344708,791,822.0,63.777,31.987,53.257,8.936,3.009
1307.580928,819,822.0,63.611,32.0,53.032,8.961,2.977
1394.845767,865,822.0,63.719,32.0,53.005,8.99,2.993
1479.72625,836,822.0,63.721,32.0,53.0,8.937,2.968
1558.365197,764,822.0,63.285,31.973,53.0,8.886,2.949
1639.146149,757,822.0,63.275,31.415,53.0,8.6,2.855
1722.288386,788,822.0,63.261,31.005,53.0,8.666,2.886
1804.471806,779,822.0,63.395,31.0,52.995,8.67,2.886
1887.111143,764,822.0,63.259,31.0,52.961,8.486,2.813
1966.440306,761,822.0,63.384,31.0,52.669,8.715,2.901
2043.348386,758,822.0,63.458,31.0,52.637,8.953,2.983
2120.498947,760,822.0,63.489,31.0,52.962,8.968,2.991
2212.780763,898,822.0,63.409,31.0,52.981,8.888,2.933
2304.032636,845,822.0,63.335,31.0,53.0,8.862,2.936
2391.979222,857,822.0,63.435,31.0,53.0,8.908,2.965
2470.002175,764,822.0,63.567,31.0,53.0,8.945,2.99
2555.407074,833,822.0,63.563,31.0,53.0,8.922,2.963
2642.56793,842,822.0,63.462,31.039,53.135,8.86,2.957
2724.045644,791,822.0,63.666,31.759,53.196,8.874,2.958
2805.663226,792,822.0,63.66,31.997,53.643,8.891,2.943
2886.948153,792,822.0,63.659,32.0,53.917,8.902,2.952
2967.616869,786,822.0,63.66,32.0,53.975,8.899,2.954
3049.456307,790,822.0,63.485,32.0,53.971,8.895,2.956
3141.973057,896,822.0,63.727,32.0,53.99,8.85,2.946
3233.395163,883,822.0,63.614,32.0,53.681,8.897,2.965
3330.391048,887,822.0,63.658,32.0,53.134,8.733,2.884
3420.22343,877,822.0,63.613,32.0,53.005,8.876,2.973
3504.318792,818,822.0,63.577,32.0,53.0,8.897,2.96
3588.140474,819,822.0,63.591,31.985,53.0,8.928,2.973
3687.723781,969,822.0,63.509,31.283,53.0,8.886,2.961
3775.086363,849,822.0,63.492,31.0,53.0,8.865,2.951
3852.88915,758,822.0,63.507,31.0,52.999,8.901,2.968
3931.232231,764,822.0,63.403,31.0,52.98,8.942,2.969
4010.38537,762,822.0,63.446,31.0,52.99,8.802,2.936
4089.234064,762,822.0,63.471,31.0,53.0,8.819,2.946
4168.56357,760,822.0,63.27,31.0,53.0,8.851,2.946
4247.703157,760,822.0,63.23,31.0,53.0,8.857,2.939
4331.844994,758,822.0,63.251,31.0,53.0,8.789,2.925
4435.126899,997,822.0,63.524,31.0,53.012,8.846,2.923
4514.225158,776,822.0,63.808,31.077,53.272,8.928,2.957
4602.579525,857,822.0,63.609,31.756,53.814,8.932,2.978
4695.729928,901,822.0,63.62,32.0,53.954,8.91,2.967
4807.122007,1085,822.0,63.73,32.0,53.665,8.911,2.976
4893.677861,839,822.0,63.672,32.0,53.213,8.884,2.939
4975.265823,789,822.0,63.578,32.0,53.03,8.93,2.963
5059.320362,821,822.0,63.703,32.0,53.0,8.934,2.963
5140.188985,781,822.0,63.548,31.973,53.0,8.887,2.956
5222.197378,787,822.0,63.451,31.751,53.0,8.85,2.956
5302.431906,780,822.0,63.681,31.146,53.0,8.897,2.95
5425.461508,1144,822.0,63.678,31.042,53.0,8.865,2.93
5516.868447,843,822.0,63.503,31.166,53.001,8.772,2.928
5618.144783,947,822.0,63.586,31.718,53.137,8.729,2.916
5711.026669,869,822.0,63.529,31.997,53.362,8.67,2.895
5827.588772,1050,822.0,63.238,32.0,53.264,8.618,2.854
5943.120112,1070,822.0,63.447,32.0,53.103,8.64,2.874
6025.901735,780,822.0,63.556,32.0,53.005,8.706,2.905
6125.827859,896,822.0,63.41,32.0,53.0,8.338,2.773
6216.84059,843,822.0,63.397,31.852,53.0,8.587,2.881
6312.180187,865,822.0,63.238,31.165,53.0,8.499,2.818
6403.081259,837,822.0,63.217,31.0,53.0,8.713,2.896
6500.968163,849,822.0,63.055,31.0,53.0,8.684,2.83
6585.298611,782,822.0,63.253,31.0,53.0,8.689,2.876
6726.185651,1315,822.0,63.28,31.0,53.0,8.741,2.905
6894.562072,1566,822.0,63.232,31.0,52.999,8.737,2.887
6991.494614,900,822.0,63.212,31.0,53.0,8.768,2.928
7114.086876,1139,822.0,63.28,31.0,53.0,8.738,2.903
7229.472763,1057,822.0,63.195,31.0,53.0,8.763,2.878
7369.548043,1265,822.0,63.232,31.01,53.074,8.669,2.847
7499.899212,1203,822.0,63.416,31.762,53.68,8.719,2.882
7638.982891,1245,822.0,63.528,32.0,53.966,8.672,2.886
7823.308397,1724,822.0,63.579,32.0,53.999,8.701,2.904
7993.963386,1588,822.0,63.484,32.0,53.583,8.688,2.894
8108.524665,1075,822.0,63.564,32.0,53.02,8.723,2.926
8253.82476,1363,822.0,63.486,32.0,53.0,8.692,2.888
8388.225514,1257,822.0,63.657,31.804,53.0,8.773,2.93
8530.365036,1398,822.0,63.833,31.036,53.0,8.891,2.976
8693.515007,1561,822.0,63.841,31.124,53.001,8.898,2.968
8862.275144,1657,822.0,63.795,31.876,53.56,8.928,2.961
9042.6275,1749,822.0,63.828,32.0,53.856,8.855,2.972
9175.741313,1294,822.0,63.794,32.0,53.414,8.867,2.97
9367.652551,1850,822.0,63.76,32.0,53.011,8.842,2.949
9595.922843,2134,822.0,63.576,31.733,53.0,8.708,2.881
9946.465428,2174,822.0,63.604,30.26,51.615,8.886,2.971
10159.887815,2057,822.0,63.205,27.175,49.557,8.689,2.936
10347.512605,1743,822.0,63.586,29.861,52.706,8.521,2.858
10530.14443,1656,822.0,63.811,30.975,53.364,8.364,2.807
10902.70859,3313,822.0,63.781,31.682,53.95,8.385,2.829
11161.371345,2362,822.0,63.697,32.0,53.204,8.493,2.869
11435.000566,2412,822.0,63.454,32.0,53.001,8.554,2.847
11738.465734,2707,822.0,63.561,32.0,53.033,8.56,2.824
12023.572703,2481,822.0,63.461,31.972,53.001,8.57,2.815
12326.23859,2770,822.0,63.587,31.417,53.0,8.663,2.892
12605.573056,2566,822.0,63.606,31.115,53.002,8.673,2.896
12879.220129,2520,822.0,63.731,31.972,53.815,8.648,2.878
13121.668915,2185,822.0,63.745,32.0,53.999,8.643,2.87
13459.039928,2609,822.0,63.608,31.97,53.263,8.68,2.901
13701.264499,2235,822.0,63.261,30.106,51.641,8.653,2.882
14021.94208,2910,822.0,63.666,31.133,53.687,8.623,2.873
14402.877565,3399,822.0,63.709,32.0,54.0,8.591,2.856
14763.684409,3209,822.0,63.607,32.0,53.389,8.555,2.814
15093.628659,2918,822.0,63.468,31.868,53.0,8.578,2.871
15882.659815,7019,822.0,63.455,31.001,53.0,8.555,2.839
16538.398717,5833,822.0,63.621,31.682,53.67,8.598,2.851
16902.873775,3264,822.0,63.62,32.0,53.756,8.639,2.871
17495.762962,5438,822.0,63.653,31.694,53.003,8.639,2.867
17804.264114,2759,822.0,63.742,31.934,53.61,8.584,2.856
18148.095047,3034,822.0,63.703,32.0,54.0,8.594,2.825
18464.750125,2849,822.0,63.64,32.0,53.54,8.603,2.855
18907.835194,3964,822.0,63.55,31.59,53.0,8.576,2.861
19216.702723,2809,822.0,63.592,31.0,53.0,8.609,2.872
19577.794391,3145,822.0,63.598,31.373,53.277,8.372,2.776
19970.633625,3489,822.0,63.701,32.0,53.918,8.656,2.877
20362.985612,3509,822.0,63.606,32.0,53.119,8.588,2.867
20758.058246,2852,822.0,63.363,30.446,51.407,8.631,2.874
21155.179414,3590,822.0,63.386,29.681,52.338,8.64,2.889
21486.724564,3037,822.0,63.704,31.165,53.534,8.637,2.883
21850.670839,3344,822.0,63.792,32.0,54.0,8.633,2.89
22205.394403,3212,822.0,63.77,32.0,53.901,8.659,2.877
22534.313947,3003,822.0,63.673,32.0,53.05,8.637,2.886
23033.466766,4495,822.0,63.453,31.41,53.0,8.559,2.842
23423.087558,3507,822.0,63.463,31.0,53.0,8.643,2.881
23677.316223,2314,822.0,63.457,31.0,53.0,8.629,2.885
23963.614511,2586,822.0,63.465,31.522,53.503,8.591,2.845
24335.574896,3303,822.0,63.55,32.0,53.995,8.583,2.851
24645.396659,2749,822.0,63.599,32.0,53.72,8.52,2.825
24954.283191,2794,822.0,63.568,32.0,53.039,8.559,2.844
25278.72932,2912,822.0,63.458,31.886,53.0,8.559,2.843
25622.577857,3058,822.0,63.635,31.988,53.555,8.583,2.878
25953.942342,2979,822.0,63.682,32.0,54.0,8.572,2.845
26350.259292,3625,822.0,63.797,32.0,53.95,8.585,2.853
26673.46992,2926,822.0,63.731,32.0,53.064,8.621,2.878
27159.576383,4424,822.0,63.632,31.971,53.172,8.609,2.877
27490.32186,3040,822.0,63.805,32.0,53.999,8.606,2.872
27785.709498,2666,822.0,63.791,32.0,53.547,8.603,2.872
28294.639913,3907,822.0,63.294,29.217,51.382,8.635,2.892
28663.464563,3386,822.0,63.706,31.073,53.323,8.652,2.893
29077.207612,3741,822.0,63.733,31.995,53.864,8.63,2.883
29516.348319,4034,822.0,63.713,32.0,53.037,8.632,2.875
29840.795817,2985,822.0,63.672,31.293,53.0,8.627,2.871
30191.182833,3115,822.0,63.584,31.001,53.006,8.576,2.853
30511.655489,2888,822.0,63.649,31.872,53.775,8.592,2.864
30921.262611,3648,822.0,63.541,32.0,53.267,8.608,2.845
31312.520904,3367,822.0,63.384,32.0,53.02,8.635,2.838
31696.901268,2627,822.0,62.857,29.312,50.874,8.66,2.844
32122.096172,3699,822.0,63.363,30.83,53.543,8.648,2.831
32581.445703,3986,822.0,63.554,32.0,54.0,8.669,2.848
33054.616519,4169,822.0,63.507,32.0,53.947,8.704,2.866
33561.289502,4421,822.0,63.442,32.0,53.391,8.681,2.846
34018.047308,4001,822.0,63.363,32.0,53.004,8.652,2.841
34527.133954,4440,822.0,63.475,31.995,53.485,8.625,2.833
34843.963964,2715,822.0,63.607,32.0,54.0,8.635,2.827
35308.235894,4039,822.0,63.498,32.0,53.941,8.628,2.83
35691.036641,3345,822.0,63.493,32.0,53.343,8.617,2.821
36049.057168,3107,822.0,63.434,32.0,53.164,8.687,2.854
36476.858985,3743,822.0,63.376,32.0,53.094,8.616,2.813
36809.096955,2915,822.0,63.433,31.998,53.007,8.65,2.842
37304.820355,4308,822.0,63.405,32.0,53.336,8.655,2.842
37799.102633,4358,822.0,63.602,32.0,54.0,8.676,2.856
38160.541449,3124,822.0,63.593,32.0,53.999,8.659,2.847
38505.00583,3034,822.0,63.485,32.0,53.889,8.663,2.83
38925.46848,3690,822.0,63.48,32.0,53.995,8.648,2.829
39255.353718,2855,822.0,63.516,32.0,53.853,8.677,2.845
39725.134678,4125,822.0,63.524,32.0,53.098,8.635,2.832
40137.666335,3613,822.0,63.482,32.0,53.154,8.646,2.836
40560.081228,3627,822.0,63.274,32.0,53.114,8.607,2.819
40972.33648,3612,822.0,63.374,32.0,53.071,8.643,2.838
41279.596246,2713,822.0,63.426,32.0,53.003,8.69,2.846
41664.919336,3316,822.0,63.277,31.989,53.217,8.658,2.83
42092.212045,3770,822.0,63.581,32.0,54.0,8.684,2.845
42616.576482,3903,822.0,63.026,30.304,52.236,8.632,2.816
43038.644502,3641,822.0,63.336,31.395,53.494,8.658,2.833
43443.154279,3520,822.0,63.377,32.0,53.057,8.635,2.818
43763.43631,2766,822.0,63.326,32.0,53.01,8.634,2.806
44220.368278,3900,822.0,63.352,32.0,53.008,8.63,2.808
44567.268836,2996,822.0,63.372,31.999,53.033,8.645,2.812
45038.9124,4032,822.0,63.348,32.0,53.024,8.644,2.82
45461.398985,3694,822.0,63.422,32.0,53.076,8.706,2.831
45967.122833,3732,822.0,63.164,31.144,52.178,8.714,2.838
46396.513216,3711,822.0,63.287,30.266,52.768,8.698,2.839
46925.512542,4617,822.0,63.481,31.579,53.091,8.692,2.84
47323.620466,3464,822.0,63.426,32.0,53.181,8.676,2.821
47691.34813,3141,822.0,63.371,32.0,53.129,8.632,2.813
48089.151287,3478,822.0,63.38,32.0,53.232,8.714,2.834
48581.88087,4250,822.0,63.339,32.0,53.107,8.683,2.823
49042.58037,3983,822.0,63.345,32.0,53.136,8.641,2.799
49422.814838,3265,822.0,63.347,32.0,53.068,8.619,2.795
49851.039345,3618,822.0,63.297,32.0,53.02,8.578,2.797
50224.316457,3247,822.0,63.434,32.0,53.043,8.691,2.81
50708.906184,4190,822.0,63.295,32.0,53.065,8.667,2.813
51231.32774,4483,822.0,63.395,31.999,53.008,8.65,2.824
51659.919368,3723,822.0,63.419,31.998,53.05,8.677,2.826
52196.905166,4591,822.0,63.517,32.0,53.98,8.643,2.798
52627.389088,3724,822.0,63.502,32.0,53.979,8.66,2.835
53238.060985,4472,822.0,63.118,30.734,52.421,8.654,2.814
53666.962833,3714,822.0,63.345,30.57,53.122,8.71,2.819
54023.912603,3113,822.0,63.422,31.759,53.41,8.683,2.812
54393.784899,3227,822.0,63.467,32.0,53.076,8.682,2.815
54856.958259,3966,822.0,63.463,32.0,53.022,8.642,2.814
55324.289376,4083,822.0,63.45,32.0,53.157,8.725,2.847
55842.672924,4422,822.0,63.354,32.0,53.127,8.614,2.806
56334.042696,4272,822.0,63.43,32.0,53.067,8.684,2.828
56798.607119,3976,822.0,63.404,31.997,53.018,8.674,2.825
57189.557065,3391,822.0,63.388,32.0,53.045,8.655,2.811
57639.796671,3895,822.0,63.338,32.0,53.021,8.64,2.803
58153.698901,4373,822.0,63.269,31.906,53.001,8.598,2.803
58550.151994,3413,822.0,63.191,31.746,53.0,8.604,2.806
58965.231384,3617,822.0,63.27,31.814,53.001,8.656,2.815
59418.973496,3906,822.0,63.278,31.893,53.001,8.694,2.837
59800.037142,3291,822.0,63.205,31.824,53.001,8.655,2.814
60216.329244,3514,822.0,63.201,31.642,53.0,8.472,2.752
60699.442521,4063,822.0,63.254,31.276,53.0,8.544,2.777
61047.415879,3002,822.0,63.233,31.817,53.001,8.622,2.801
61555.721768,4347,822.0,63.292,31.38,53.0,8.66,2.802
61919.793872,3148,822.0,63.279,31.02,53.0,8.686,2.803
62251.436756,2851,822.0,63.191,31.0,53.0,8.613,2.798
62716.878195,4001,822.0,63.379,31.424,53.361,8.689,2.827
63210.532219,4344,822.0,63.642,32.0,54.0,8.745,2.855
63759.60388,4750,822.0,63.599,32.0,53.991,8.681,2.821
64274.285827,3964,822.0,63.175,30.547,52.331,8.668,2.817
64682.320482,3566,822.0,63.34,31.526,53.387,8.668,2.843
65067.674585,3317,822.0,63.386,32.0,53.44,8.623,2.842
